"measureKey";"measureName";"systemName";"entityName";"entityType";"entityId";"value"
"interactionDensityBasedOnComponents";"Interaction density based on components";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"4.25"
"interactionDensityBasedOnLinks";"Interaction density based on links";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0.08673469387755102"
"systemCouplingBasedOnEndpointEntropy";"System Coupling based on Endpoint Entropy";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"1.645899061409296"
"servicesInterdependenceInTheSystem";"Services Interdependence in the System";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0"
"aggregateSystemMetricToMeasureServiceCoupling";"Aggregate System metric to measure service coupling";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0.21428571428571427"
"degreeOfCouplingInASystem";"Degree of coupling in a system";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0.21428571428571427"
"simpleDegreeOfCouplingInASystem";"Simple Degree of coupling in a system";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"1.5"
"directServiceSharing";"Direct Service Sharing";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0.1985294117647059"
"transitivelySharedServices";"Transitively Shared Services";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0.2904411764705882"
"ratioOfSharedNonExternalComponentsToNonExternalComponents";"Ratio of shared non-external components to non-external components";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0.25"
"ratioOfSharedDependenciesOfNonExternalComponentsToPossibleDependencies";"Ratio of shared dependencies of non-external components to possible dependencies";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0.375"
"averageSystemCoupling";"Average System Coupling";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"1.9625000000000006"
"numberOfSynchronousCycles";"Number of synchronous cycles";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"0"
"densityOfAggregation";"Density of Aggregation";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"-1.4634839998110205"
"dataAggregateConvergenceAcrossComponents";"Data Aggregate Convergence across Components";"teastore-private-nlb-mixedreplication-model";"teastore-private-nlb-mixedreplication-model";"system";"5";"5.525"
