"measureKey";"measureName";"systemName";"entityName";"entityType";"entityId";"value"
"configurationExternalization";"Configuration externalization";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0"
"ratioOfComponentsWhoseIngressIsProxied";"Ratio of components whose ingress is proxied";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0"
"numberOfAvailabilityZonesUsed";"Number of Availability Zones used";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"3"
"rollingUpdateOption";"Rolling Update Option";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0.5"
"numberOfLinksWithRetryLogic";"Number of Links with retry logic";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0"
"numberOfLinksWithComplexFailover";"Number of Links with Complex Failover";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0"
"serviceMeshUsage";"Service Mesh Usage";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0"
"ratioOfInfrastructureNodesThatSupportMonitoring";"Ratio of Infrastructure nodes that support Monitoring";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0"
"ratioOfComponentsThatSupportMonitoring";"Ratio of Components that support Monitoring";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0"
"ratioOfProviderManagedComponentsAndInfrastructure";"Ratio of Provider-Managed Components and Infrastructure";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"0.36363636363636365"
"componentDensity";"Component density";"teastore-private-nlb-noreplication-model";"teastore-private-nlb-noreplication-model";"system";"6";"4"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"secretsExternalization";"Secrets Externalization";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"serviceInterfaceDataCohesion";"Service Interface Data Cohesion";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"3"
"cohesionBetweenEndpointsBasedOnDataAggregateUsage";"Cohesion between Endpoints based on data aggregate usage";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.2"
"resourceCount";"Data Aggregate Count";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"1"
"numberOfProvidedSynchronousAndAsynchronousEndpoints";"Number of provided synchronous and asynchronous endpoints";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"6"
"numberOfSynchronousEndpointsOfferedByAService";"Number of synchronous endpoints offered by a service";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"6"
"serviceInterfaceUsageCohesion";"Service Interface Usage Cohesion";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.6666666666666666"
"unusedEndpointCount";"Unused Endpoint Count";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"2"
"numberOfReadEndpointsProvidedByAService";"Number of Read Endpoints provided by a service";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"4"
"numberOfWriteEndpointsProvidedByAService";"Number of Write Endpoints provided by a service";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"2"
"ratioOfStateDependencyOfEndpoints";"Ratio of state dependency of endpoints";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.5"
"suitablyReplicatedStatefulService";"Ratio of suitably replicated stateful services";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"n/a"
"numberOfAsynchronousEndpointsOfferedByAService";"Number of asynchronous endpoints offered by a service";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"numberOfSynchronousOutgoingLinks";"Number of synchronous outgoing links";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"3"
"numberOfAsynchronousOutgoingLinks";"Number of asynchronous outgoing links";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"ratioOfAsynchronousOutgoingLinks";"Ratio of asynchronous outgoing links";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"ratioOfNonCustomBackingServices";"Ratio of non-custom backing services";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"n/a"
"numberOfLinksPerComponent";"Number of Links per Component ";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"7"
"numberOfConsumedEndpoints";"Number of Consumed Endpoints";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"3"
"incomingOutgoingRatioOfAComponent";"Incoming outgoing ratio of a component";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.75"
"ratioOfOutgoingLinksOfAService";"Ratio of outgoing links of a service";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"42.857142857142854"
"serviceCouplingBasedOnEndpointEntropy";"Service Coupling based on Endpoint Entropy";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.20068666377598746"
"combinedMetricForIndirectDependency";"Combined metric for indirect dependency";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.1"
"indirectInteractionDensity";"Indirect Interaction density of a system";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.2"
"averageNumberOfDirectlyConnectedServices";"Average Number of Directly Connected Services";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.375"
"numberOfComponentsThatAreLinkedToAComponent";"Number of Components that are linked to a component";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"1"
"numberOfComponentsAComponentIsLinkedTo";"Number of Components a component is linked to";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"2"
"numberOfComponentsAComponentIsLinkedToRelativeToTheTotalAmountOfComponents";"Number of Components a component is linked to relative to the total amount of components";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.25"
"cyclicCommunication";"Cyclic Communication";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"relativeImportanceOfTheService";"Relative Importance of the Service";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0.125"
"serviceCriticality";"Service Criticality";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"2"
"degreeOfStorageBackendSharing";"Degree of Storage Backend Sharing";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"ratioOfStorageBackendSharing";"Ratio of Storage Backend Sharing";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"amountOfRedundancy";"Amount of redundancy";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"1"
"serviceReplicationLevel";"Service Replication level";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"1"
