"measureKey";"measureName";"systemName";"entityName";"entityType";"entityId";"value"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"serviceInterfaceDataCohesion";"Service Interface Data Cohesion";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"3"
"cohesionBetweenEndpointsBasedOnDataAggregateUsage";"Cohesion between Endpoints based on data aggregate usage";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.2"
"resourceCount";"Data Aggregate Count";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"1"
"numberOfProvidedSynchronousAndAsynchronousEndpoints";"Number of provided synchronous and asynchronous endpoints";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"6"
"numberOfSynchronousEndpointsOfferedByAService";"Number of synchronous endpoints offered by a service";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"6"
"serviceInterfaceUsageCohesion";"Service Interface Usage Cohesion";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.6666666666666666"
"unusedEndpointCount";"Unused Endpoint Count";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"2"
"numberOfReadEndpointsProvidedByAService";"Number of Read Endpoints provided by a service";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"4"
"numberOfWriteEndpointsProvidedByAService";"Number of Write Endpoints provided by a service";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"2"
"ratioOfStateDependencyOfEndpoints";"Ratio of state dependency of endpoints";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.5"
"numberOfAsynchronousEndpointsOfferedByAService";"Number of asynchronous endpoints offered by a service";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"numberOfSynchronousOutgoingLinks";"Number of synchronous outgoing links";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"3"
"numberOfAsynchronousOutgoingLinks";"Number of asynchronous outgoing links";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"ratioOfAsynchronousOutgoingLinks";"Ratio of asynchronous outgoing links";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"numberOfLinksPerComponent";"Number of Links per Component ";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"7"
"numberOfConsumedEndpoints";"Number of Consumed Endpoints";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"3"
"incomingOutgoingRatioOfAComponent";"Incoming outgoing ratio of a component";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.75"
"ratioOfOutgoingLinksOfAService";"Ratio of outgoing links of a service";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"42.857142857142854"
"serviceCouplingBasedOnEndpointEntropy";"Service Coupling based on Endpoint Entropy";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.20068666377598746"
"combinedMetricForIndirectDependency";"Combined metric for indirect dependency";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.1"
"indirectInteractionDensity";"Indirect Interaction density of a system";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.2"
"averageNumberOfDirectlyConnectedServices";"Average Number of Directly Connected Services";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.375"
"numberOfComponentsThatAreLinkedToAComponent";"Number of Components that are linked to a component";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"1"
"numberOfComponentsAComponentIsLinkedTo";"Number of Components a component is linked to";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"2"
"numberOfComponentsAComponentIsLinkedToRelativeToTheTotalAmountOfComponents";"Number of Components a component is linked to relative to the total amount of components";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.25"
"cyclicCommunication";"Cyclic Communication";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"relativeImportanceOfTheService";"Relative Importance of the Service";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0.125"
"serviceCriticality";"Service Criticality";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"2"
"degreeOfStorageBackendSharing";"Degree of Storage Backend Sharing";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"ratioOfStorageBackendSharing";"Ratio of Storage Backend Sharing";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"amountOfRedundancy";"Amount of redundancy";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"1"
"serviceReplicationLevel";"Service Replication level";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"4"
"storageReplicationLevel";"Storage Replication level";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"n/a"
"numberOfLinksWithRetryLogic";"Number of Links with retry logic";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"numberOfLinksWithComplexFailover";"Number of Links with Complex Failover";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"serviceMeshUsage";"Service Mesh Usage";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"0"
"totalServiceInterfaceCohesion";"Total Service Interface Cohesion";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"1.8333333333333333"
"serviceSize";"Size of a service";"teastore-private-nlb-highreplication-withcaching-model";"Imageprovider";"component";"561f6d16-1075-4435-b723-72a7d23e17bf";"2"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"serviceInterfaceDataCohesion";"Service Interface Data Cohesion";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"cohesionBetweenEndpointsBasedOnDataAggregateUsage";"Cohesion between Endpoints based on data aggregate usage";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"resourceCount";"Data Aggregate Count";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfProvidedSynchronousAndAsynchronousEndpoints";"Number of provided synchronous and asynchronous endpoints";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfSynchronousEndpointsOfferedByAService";"Number of synchronous endpoints offered by a service";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"serviceInterfaceUsageCohesion";"Service Interface Usage Cohesion";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"unusedEndpointCount";"Unused Endpoint Count";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfReadEndpointsProvidedByAService";"Number of Read Endpoints provided by a service";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfWriteEndpointsProvidedByAService";"Number of Write Endpoints provided by a service";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"ratioOfStateDependencyOfEndpoints";"Ratio of state dependency of endpoints";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfAsynchronousEndpointsOfferedByAService";"Number of asynchronous endpoints offered by a service";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfSynchronousOutgoingLinks";"Number of synchronous outgoing links";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfAsynchronousOutgoingLinks";"Number of asynchronous outgoing links";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"ratioOfAsynchronousOutgoingLinks";"Ratio of asynchronous outgoing links";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
"numberOfLinksPerComponent";"Number of Links per Component ";"teastore-private-nlb-highreplication-withcaching-model";"Network Load Balancer";"component";"9b309377-29ad-42b6-abcf-e38c706360a9";"0"
